Vardas         Pavarde        Pazymys1  Pazymys2  Pazymys3  Pazymys4  Pazymys5  Pazymys6  Pazymys7  Pazymys8  Pazymys9  Pazymys10 Egzaminas 
Vardas1        Pavarde1       7         8         10        7         9         1         5         10        10        3         8         
Vardas2        Pavarde2       8         4         4         10        3         4         5         2         1         7         4         
Vardas3        Pavarde3       8         5         7         7         10        2         7         10        5         4         10        
Vardas4        Pavarde4       5         9         3         7         1         8         6         5         7         5         8         
Vardas5        Pavarde5       9         8         7         4         4         7         4         3         8         4         5         
Vardas6        Pavarde6       8         2         5         1         5         1         4         10        4         5         1         
Vardas7        Pavarde7       1         9         8         9         3         9         6         3         5         5         4         
Vardas8        Pavarde8       1         1         6         9         8         1         6         1         1         1         4         
Vardas9        Pavarde9       3         8         4         9         4         3         7         2         3         5         5         
Vardas10       Pavarde10      5         8         5         3         1         9         2         8         2         9         1         
Vardas11       Pavarde11      2         3         5         5         5         3         8         3         9         7         5         
Vardas12       Pavarde12      4         2         5         10        7         8         3         8         1         6         7         
Vardas13       Pavarde13      1         8         10        7         8         5         7         9         8         9         8         
Vardas14       Pavarde14      2         5         8         7         1         1         5         3         9         10        5         
Vardas15       Pavarde15      4         2         10        8         6         10        9         1         3         4         9         
Vardas16       Pavarde16      8         3         6         9         4         8         9         6         3         6         2         
Vardas17       Pavarde17      1         8         5         8         9         6         5         1         9         8         2         
Vardas18       Pavarde18      4         8         10        5         2         2         5         9         5         1         4         
Vardas19       Pavarde19      10        3         2         7         5         9         9         7         5         6         1         
Vardas20       Pavarde20      1         6         10        10        6         4         10        2         10        10        9         
Vardas21       Pavarde21      7         4         10        9         3         8         1         4         9         10        2         
Vardas22       Pavarde22      6         2         5         1         5         6         5         9         9         1         5         
Vardas23       Pavarde23      2         7         5         9         2         2         5         9         1         7         2         
Vardas24       Pavarde24      7         3         7         8         1         2         10        2         2         10        7         
Vardas25       Pavarde25      5         6         9         10        5         5         2         7         9         5         8         
Vardas26       Pavarde26      3         4         7         8         2         9         7         7         6         5         8         
Vardas27       Pavarde27      7         1         5         10        5         8         3         5         5         4         10        
Vardas28       Pavarde28      4         1         4         1         4         1         2         9         7         5         1         
Vardas29       Pavarde29      8         3         7         9         2         7         7         8         8         4         3         
Vardas30       Pavarde30      4         1         7         10        5         8         7         2         1         4         8         
Vardas31       Pavarde31      3         8         4         5         8         7         10        1         4         4         4         
Vardas32       Pavarde32      4         5         3         2         3         4         5         3         6         10        2         
Vardas33       Pavarde33      10        6         10        1         5         3         1         10        9         6         10        
Vardas34       Pavarde34      9         9         7         2         9         6         2         6         8         2         4         
Vardas35       Pavarde35      6         1         7         5         5         3         8         3         9         8         7         
Vardas36       Pavarde36      8         3         8         5         3         3         5         7         3         6         9         
Vardas37       Pavarde37      2         6         8         7         2         8         1         1         3         5         4         
Vardas38       Pavarde38      8         5         8         7         10        8         6         6         3         5         2         
Vardas39       Pavarde39      1         3         3         3         3         2         3         3         2         5         10        
Vardas40       Pavarde40      4         5         3         9         7         6         9         5         5         1         6         
Vardas41       Pavarde41      5         4         9         7         10        2         10        4         10        2         9         
Vardas42       Pavarde42      3         9         8         6         9         10        10        1         1         1         2         
Vardas43       Pavarde43      10        1         7         10        1         1         2         8         10        8         3         
